Timestamp,1. What industry do you work in? ,2. What is your occupation? ,3. What country do you live in?,4. What country do you work in (if you work remotely)?,5. Who would you prefer to have your first interview with?,6. How much would you be prepared to pay to register in a recruitment system or web site?,"7. During your job search, when would you be prepared to provide your personal information, such as name, surname, and contacts details?",8. Completing or updating your CV for job hunting:,9. Have you ever been asked to recommend someone for a job? ,10. Do you check vacancies elsewhere while being employed? ,11. What part of job search is the most irritating for you?
31/5/21 15:37,IT,Marketing Analyst,Australia,Australia,"hiring manager (team leader, head of project team etc.)","nothing, it must be free for candidates","after I have already received detailed information about the project and know I am interested in it, I am prepared to provide my name only, as I am usually employed when I look for another job and I do not want my employer to find out it","it's a part of the process, I am ok with that, I have a CV, but I do not like amending it for each vacancy","Happened, but I didn't have a good match to recommend. Btw typo in question ""ever""","yes always, I don't want to miss out on something interesting, Not always, when there are limited opportunities for growth with current employer","having to attend numerous interviews, finding time to go through all these steps, finding too many irrelevant positions"
31/5/21 18:04,IT,Quality engineer  ,Australia ,Australia ,"director, head of department etc.",$5-10,after I have already received detailed information about the project and know I am interested in it,"it's a part of the process, I am ok with that","oh yes, often and I do refer whomever I find suitable, I would if I get paid for that","no, I will if I start to look for new job","writing a CV, having to attend numerous interviews, passing a technical interview"
31/5/21 18:14,IT,QA,Australia,Australia,"hiring manager (team leader, head of project team etc.), director, head of department etc.","$10 or more, depending on what I am getting for this money, I'd it will obe time payment not for each appplication","I have no issues with sharing my personal information at any stage, I am prepared to provide my name only, as I am usually employed when I look for another job and I do not want my employer to find out it","it's a part of the process, I am ok with that","oh yes, often and I do refer whomever I find suitable","no, I will if I start to look for new job","attending recruiter interviews, finding time to go through all these steps, finding too many irrelevant positions, not having any feedback from the employer or recruiter"
31/5/21 18:19,Blockchain ,Technical leadership ,Australia,Australia,recruiter of hiring company,"nothing, it must be free for candidates",after I have already received detailed information about the project and know I am interested in it,"it's a part of the process, I am ok with that","oh yes, often and I do refer whomever I find suitable","yes always, I don't want to miss out on something interesting","I am very experienced and highly skilled in my field, I feel that I must be approached and assessed in a unique way"
31/5/21 18:22,SaaS,Marketing Automation,Australia,Australia,"hiring manager (team leader, head of project team etc.)","nothing, it must be free for candidates",I have no issues with sharing my personal information at any stage,"it's a part of the process, I am ok with that","oh yes, often and I do refer whomever I find suitable","yes always, I don't want to miss out on something interesting, yes, I love to follow new trends and technologies","writing a CV, finding too many irrelevant positions"
31/5/21 18:23,"Bank, finance",Developer,Australia,Australia,recruiter of hiring company,"nothing, it must be free for candidates","I am prepared to provide my name only, as I would not like to join recruiter’s database","it's a part of the process, I am ok with that","yes, and I was even paid for that","yes always, I don't want to miss out on something interesting",ending up in recruiters database and being chased later on
31/5/21 18:29,IT,Digital accessibility specialist,Australia,Australia,"hiring manager (team leader, head of project team etc.)","nothing, it must be free for candidates",I have no issues with sharing my personal information at any stage,"it's a part of the process, I am ok with that","yes, but there was noone I know suitable for the position","no, I will if I start to look for new job",not having any feedback from the employer or recruiter
31/5/21 18:40,IT (accounting) ,Development Team Lead,Australia ,Australia ,"recruiter of hiring company, hiring manager (team leader, head of project team etc.)","nothing, it must be free for candidates",I have no issues with sharing my personal information at any stage,"it's a part of the process, I am ok with that","oh yes, often and I do refer whomever I find suitable","yes, I love to follow new trends and technologies","ending up in recruiters database and being chased later on, not having any feedback from the employer or recruiter"
31/5/21 18:42,IT,Test Automation engineer ,Australia ,Australia ,recruiter of hiring company,"nothing, it must be free for candidates",after I have already received detailed information about the project and know I am interested in it,irritates me as it's time consuming,"oh yes, often and I do refer whomever I find suitable","yes always, I don't want to miss out on something interesting","finding too many irrelevant positions, not having any feedback from the employer or recruiter"
31/5/21 18:47,IT,Senior Test Analyst (automation),Australia,Australia,"hiring manager (team leader, head of project team etc.)","nothing, it must be free for candidates",after I have already received detailed information about the project and know I am interested in it,"it's a part of the process, I am ok with that, irritates me as it's time consuming, I would rather talk about myself in person than create a CV","no, never happened to me","no, I will if I start to look for new job","writing a CV, having to attend numerous interviews, attending recruiter interviews, I am very experienced and highly skilled in my field, I feel that I must be approached and assessed in a unique way, ending up in recruiters database and being chased later on, not having any feedback from the employer or recruiter"
